,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,107/01/02,"15,815,336","854,169,244",53.40,54.40,53.30,54.20,+0.70,"6,568"
1,107/01/03,"32,123,721","1,767,027,945",54.80,55.40,54.30,55.20,+1.00,"11,946"
2,107/01/04,"17,321,761","955,005,609",55.30,55.40,54.50,55.40,+0.20,"7,718"
3,107/01/05,"22,221,913","1,232,707,178",55.30,55.80,55.00,55.70,+0.30,"7,550"
4,107/01/08,"22,253,987","1,236,187,693",55.80,55.80,55.00,55.70, 0.00,"9,726"
5,107/01/09,"12,742,940","707,716,620",55.70,55.80,55.20,55.80,+0.10,"5,157"
6,107/01/10,"32,365,670","1,817,048,526",56.50,56.70,55.60,55.60,-0.20,"10,669"
7,107/01/11,"16,238,278","897,478,653",55.80,55.90,55.00,55.40,-0.20,"6,250"
8,107/01/12,"11,994,485","667,971,883",55.50,55.90,55.30,55.60,+0.20,"5,454"
9,107/01/15,"24,899,376","1,403,239,503",56.00,56.60,55.90,56.50,+0.90,"8,525"
10,107/01/16,"17,469,879","988,455,688",56.50,56.80,56.20,56.60,+0.10,"5,294"
11,107/01/17,"17,042,147","955,808,832",56.30,56.40,55.80,56.30,-0.30,"5,431"
12,107/01/18,"14,582,079","818,172,743",56.50,56.50,55.80,55.90,-0.40,"4,139"
13,107/01/19,"10,183,237","569,829,413",55.70,56.20,55.60,56.00,+0.10,"3,549"
14,107/01/22,"18,754,752","1,043,341,910",55.80,56.10,55.20,55.60,-0.40,"6,079"
15,107/01/23,"15,109,737","844,080,059",55.80,56.50,55.30,56.00,+0.40,"5,141"
16,107/01/24,"18,590,391","1,029,797,095",55.80,55.90,55.00,55.70,-0.30,"7,136"
17,107/01/25,"17,934,417","998,621,502",55.70,56.10,55.20,55.60,-0.10,"5,885"
18,107/01/26,"23,104,756","1,265,566,867",55.30,55.30,54.50,54.70,-0.90,"8,699"
19,107/01/29,"16,010,037","879,799,668",55.00,55.20,54.60,55.20,+0.50,"5,561"
20,107/01/30,"13,049,295","714,272,688",55.00,55.10,54.40,54.40,-0.80,"4,721"
21,107/02/01,"10,666,353","586,057,716",54.70,55.20,54.60,54.80,+0.20,"3,334"
22,107/02/02,"9,381,541","512,792,463",54.50,55.00,54.40,54.70,-0.10,"3,325"
23,107/02/05,"14,671,051","789,818,301",53.50,54.10,53.50,54.10,-0.60,"5,281"
24,107/02/06,"38,452,497","1,972,706,147",52.10,52.50,50.50,50.80,-3.30,"12,768"
25,107/02/07,"27,633,771","1,455,338,535",52.40,53.50,52.00,52.70,+1.90,"9,190"
26,107/02/08,"14,356,310","764,486,653",53.30,53.50,52.80,53.30,+0.60,"5,567"
27,107/02/09,"22,072,666","1,163,314,182",52.10,53.30,52.00,52.80,-0.50,"8,082"
28,107/02/12,"17,578,655","940,077,715",53.80,53.80,53.00,53.00,+0.20,"6,275"
29,107/02/21,"22,747,623","1,228,779,401",54.20,54.30,53.60,54.00,+1.00,"8,521"
30,107/02/22,"16,171,778","872,872,312",53.50,54.40,53.20,54.20,+0.20,"5,743"
31,107/02/23,"13,651,216","744,764,231",54.40,54.80,54.20,54.70,+0.50,"5,242"
32,107/02/26,"9,892,736","540,334,232",54.80,54.90,54.30,54.30,-0.40,"4,828"
33,107/03/01,"16,612,906","895,716,678",53.50,54.30,53.50,53.90,-0.60,"7,598"
34,107/03/02,"16,723,410","890,514,715",53.30,53.70,53.00,53.30,-0.60,"6,436"
35,107/03/05,"14,380,799","760,377,984",53.40,53.50,52.50,52.60,-0.70,"5,345"
36,107/03/06,"9,482,809","501,203,671",53.30,53.30,52.60,52.80,+0.20,"5,253"
37,107/03/07,"9,232,266","486,562,853",52.50,53.00,52.50,52.50,-0.30,"4,037"
38,107/03/08,"11,179,645","588,178,866",52.80,52.90,52.40,52.40,-0.10,"4,229"
39,107/03/09,"13,849,900","723,322,143",52.50,52.70,52.00,52.00,-0.40,"5,921"
40,107/03/12,"26,830,200","1,453,781,874",52.80,54.70,52.60,54.50,+2.50,"8,777"
41,107/03/13,"19,328,996","1,045,532,021",54.30,54.50,53.80,53.90,-0.60,"5,601"
42,107/03/14,"12,153,162","654,740,191",53.60,54.00,53.50,53.90, 0.00,"4,425"
43,107/03/15,"9,247,457","496,644,462",53.60,54.00,53.40,53.40,-0.50,"3,390"
44,107/03/16,"22,625,978","1,207,712,375",53.10,54.00,53.10,53.40, 0.00,"4,946"
45,107/03/19,"8,386,307","448,165,262",53.40,53.70,53.20,53.60,+0.20,"3,749"
46,107/03/20,"12,034,093","641,994,110",53.30,53.60,53.20,53.20,-0.40,"5,506"
47,107/03/21,"9,749,804","521,154,793",53.50,53.70,53.30,53.40,+0.20,"4,829"
48,107/03/22,"17,172,406","920,775,260",53.50,54.20,53.10,53.40, 0.00,"5,743"
49,107/03/23,"22,780,073","1,196,855,415",52.60,53.00,52.10,52.20,-1.20,"7,723"
50,107/03/26,"8,504,389","446,088,088",52.20,52.80,52.10,52.80,+0.60,"3,519"
51,107/03/27,"7,149,945","380,403,237",53.10,53.30,53.10,53.30,+0.50,"3,367"
52,107/03/28,"6,631,090","348,800,001",53.00,53.00,52.30,52.50,-0.80,"3,031"
53,107/03/29,"13,176,802","685,724,584",52.40,52.50,51.80,51.80,-0.70,"5,027"
54,107/03/30,"10,380,526","541,227,452",52.30,52.40,51.90,51.90,+0.10,"4,112"
55,107/04/02,"5,603,404","294,066,788",52.70,52.70,52.20,52.50, 0.00,"2,229"
56,107/04/03,"9,613,464","499,939,128",52.10,52.20,51.80,52.00,-0.50,"4,134"
57,107/04/09,"11,049,132","581,274,706",52.60,53.00,52.10,53.00,+1.00,"4,265"
58,107/04/10,"31,053,319","1,654,301,507",53.00,53.90,52.60,53.00, 0.00,"6,758"
59,107/04/11,"12,376,873","660,972,617",53.60,53.80,53.10,53.30,+0.30,"5,254"
60,107/04/12,"10,189,630","542,173,819",53.60,53.70,53.00,53.30, 0.00,"3,503"
61,107/04/13,"9,730,057","514,866,266",53.50,53.50,52.70,52.80,-0.50,"3,414"
62,107/04/16,"8,319,654","438,450,910",52.80,53.00,52.50,52.50,-0.30,"3,535"
63,107/04/17,"16,888,371","875,797,022",52.50,52.70,51.60,51.60,-0.90,"6,383"
64,107/04/18,"14,882,875","771,627,600",52.00,52.40,51.50,52.00,+0.40,"5,566"
65,107/04/19,"19,063,331","1,001,807,250",52.00,52.90,52.00,52.90,+0.90,"5,934"
66,107/04/20,"10,233,680","537,317,982",52.80,52.80,52.20,52.50,-0.40,"3,044"
67,107/04/23,"10,406,015","546,549,253",52.20,52.80,52.20,52.50, 0.00,"2,985"
68,107/04/24,"10,370,094","546,418,599",52.80,52.90,52.40,52.50, 0.00,"3,533"
69,107/04/25,"26,654,687","1,384,791,446",52.30,52.50,51.70,52.20,-0.30,"8,040"
70,107/04/26,"21,040,927","1,100,733,344",52.60,52.80,52.00,52.80,+0.60,"4,513"
71,107/04/27,"20,190,914","1,077,577,030",53.20,53.70,53.10,53.50,+0.70,"7,134"
72,107/05/02,"12,811,907","684,391,203",53.20,53.80,53.10,53.50, 0.00,"5,355"
73,107/05/03,"11,531,521","611,967,421",53.30,53.80,52.80,52.90,-0.60,"5,404"
74,107/05/04,"10,548,223","557,616,862",52.70,53.00,52.70,52.80,-0.10,"2,656"
75,107/05/07,"14,149,062","750,901,036",53.40,53.40,52.80,53.00,+0.20,"3,944"
76,107/05/08,"18,350,667","978,154,547",53.00,53.50,52.90,53.50,+0.50,"4,840"
77,107/05/09,"13,431,774","720,385,882",53.50,53.80,53.50,53.60,+0.10,"6,060"
78,107/05/10,"17,457,918","931,902,660",53.60,53.80,53.10,53.30,-0.30,"7,627"
79,107/05/11,"27,810,084","1,510,286,698",53.60,54.70,53.60,54.60,+1.30,"10,670"
80,107/05/14,"14,683,155","805,862,515",54.80,55.00,54.60,55.00,+0.40,"6,340"
81,107/05/15,"18,238,343","992,832,422",55.00,55.10,54.00,54.00,-1.00,"6,388"
82,107/05/16,"18,765,990","1,027,693,205",54.60,55.00,54.40,54.90,+0.90,"4,867"
83,107/05/17,"14,650,081","804,980,487",55.00,55.40,54.50,54.90, 0.00,"5,502"
84,107/05/18,"15,288,612","834,650,148",54.90,54.90,54.40,54.40,-0.50,"5,245"
85,107/05/21,"11,385,495","623,887,118",54.60,55.00,54.50,55.00,+0.60,"4,995"
