,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,107/01/02,"1,868,451","46,856,990",25.00,25.14,25.00,25.13,+0.13,733
1,107/01/03,"3,846,820","97,179,269",25.15,25.31,25.15,25.31,+0.18,"1,202"
2,107/01/04,"2,736,229","69,496,928",25.31,25.45,25.31,25.41,+0.10,957
3,107/01/05,"2,383,585","60,620,826",25.41,25.48,25.39,25.44,+0.03,782
4,107/01/08,"3,048,596","77,817,525",25.45,25.57,25.45,25.57,+0.13,"1,236"
5,107/01/09,"2,965,586","75,831,780",25.55,25.63,25.48,25.50,-0.07,807
6,107/01/10,"1,323,050","33,645,640",25.50,25.55,25.35,25.37,-0.13,567
7,107/01/11,"2,404,787","61,058,028",25.34,25.41,25.34,25.41,+0.04,487
8,107/01/12,"3,979,566","101,650,019",25.41,25.57,25.41,25.54,+0.13,708
9,107/01/15,"1,445,655","36,990,863",25.57,25.68,25.55,25.65,+0.11,600
10,107/01/16,"7,649,103","196,913,691",25.65,25.80,25.65,25.80,+0.15,"1,310"
11,107/01/17,"7,014,654","181,501,648",25.80,25.93,25.76,25.92,+0.12,"1,056"
12,107/01/18,"7,911,027","206,059,657",25.92,26.13,25.92,26.02,+0.10,"1,709"
13,107/01/19,"2,496,482","65,004,872",26.02,26.12,25.98,26.00,-0.02,682
14,107/01/22,"6,755,556","176,752,258",26.00,26.25,26.00,26.25,+0.25,"1,701"
15,107/01/23,"2,946,921","77,417,833",26.25,26.40,26.17,26.20,-0.05,994
16,107/01/24,"9,028,263","237,505,753",26.17,26.39,26.17,26.32,+0.12,"1,515"
17,107/01/25,"6,270,581","166,232,801",26.32,26.61,26.32,26.45,+0.13,"1,798"
18,107/01/26,"2,397,837","63,432,403",26.45,26.54,26.31,26.54,+0.09,"1,026"
19,107/01/29,"7,869,670","210,419,232",26.57,26.80,26.57,26.80,+0.26,"1,666"
20,107/01/30,"2,594,237","68,997,976",26.76,26.76,26.40,26.41,-0.39,"1,355"
21,107/02/01,"799,298","21,166,340",26.45,26.54,26.40,26.42,-0.03,406
22,107/02/02,"2,118,179","55,704,958",26.39,26.40,26.22,26.34,-0.08,494
23,107/02/05,"2,894,343","74,835,699",26.10,26.10,25.77,26.00,-0.34,"1,116"
24,107/02/06,"13,899,659","347,886,368",25.60,25.60,24.55,24.99,-1.01,"5,191"
25,107/02/07,"2,950,428","74,971,455",25.16,25.51,25.16,25.43,+0.44,"1,352"
26,107/02/08,"1,313,980","33,376,894",25.43,25.50,25.30,25.50,+0.07,581
27,107/02/09,"4,127,754","102,906,820",24.86,25.50,24.63,25.50, 0.00,"1,795"
28,107/02/12,"3,449,872","86,940,949",25.50,25.50,25.14,25.15,-0.35,"1,589"
29,107/02/21,"1,841,744","47,121,378",25.50,25.72,25.40,25.72,+0.57,"1,223"
30,107/02/22,"919,583","23,562,445",25.68,25.68,25.55,25.62,-0.10,564
31,107/02/23,"1,464,915","37,763,561",25.72,25.80,25.72,25.80,+0.18,912
32,107/02/26,"4,476,529","116,126,324",25.91,25.98,25.91,25.98,+0.18,822
33,107/03/01,"1,040,292","26,859,454",25.80,25.91,25.70,25.91,-0.04,598
34,107/03/02,"851,735","21,915,923",25.85,25.85,25.66,25.76,-0.15,590
35,107/03/05,"749,148","19,261,755",25.78,25.80,25.60,25.63,-0.13,580
36,107/03/06,"1,020,664","26,244,589",25.71,25.81,25.65,25.76,+0.13,786
37,107/03/07,"1,096,718","28,244,036",25.75,25.88,25.65,25.70,-0.06,694
38,107/03/08,"2,120,537","55,134,829",25.70,26.07,25.70,26.01,+0.31,923
39,107/03/09,"513,167","13,326,841",26.05,26.05,25.91,25.93,-0.08,359
40,107/03/12,"2,819,132","73,523,076",26.05,26.14,26.02,26.10,+0.17,"1,096"
41,107/03/13,"1,881,112","49,175,205",26.10,26.17,26.08,26.17,+0.07,863
42,107/03/14,"1,628,880","42,585,195",26.08,26.21,26.08,26.08,-0.09,610
43,107/03/15,"1,654,618","43,094,191",26.00,26.15,26.00,26.11,+0.03,361
44,107/03/16,"803,078","20,958,831",26.15,26.16,26.05,26.16,+0.05,574
45,107/03/19,"1,225,634","32,085,400",26.16,26.20,26.12,26.19,+0.03,502
46,107/03/20,"623,310","16,269,996",26.18,26.18,26.08,26.13,-0.06,328
47,107/03/21,"698,359","18,286,398",26.13,26.25,26.13,26.17,+0.04,406
48,107/03/22,"1,536,613","40,348,808",26.17,26.35,26.13,26.14,-0.03,707
49,107/03/23,"2,810,755","72,469,609",25.85,25.92,25.66,25.82,-0.32,"1,380"
50,107/03/26,"831,745","21,539,331",25.74,26.00,25.73,26.00,+0.18,584
51,107/03/27,"1,305,215","34,062,029",26.06,26.14,26.06,26.08,+0.08,508
52,107/03/28,"714,309","18,552,504",26.05,26.06,25.92,25.93,-0.15,470
53,107/03/29,"1,355,082","35,071,188",25.92,25.94,25.83,25.90,-0.03,428
54,107/03/30,"509,321","13,222,076",25.99,26.00,25.90,25.96,+0.06,314
55,107/04/02,"633,240","16,478,242",25.99,26.06,25.98,26.02,+0.07,337
56,107/04/03,"707,840","18,341,160",26.00,26.00,25.88,25.92,-0.10,493
57,107/04/09,"795,830","20,614,660",25.95,25.96,25.85,25.95,+0.03,577
58,107/04/10,"388,841","10,081,506",25.95,25.99,25.84,25.95, 0.00,335
59,107/04/11,"1,469,411","38,288,968",26.01,26.12,26.00,26.11,+0.16,847
60,107/04/12,"303,794","7,909,526",26.10,26.10,25.99,26.00,-0.11,284
61,107/04/13,"475,014","12,354,555",26.10,26.10,25.96,25.99,-0.01,261
62,107/04/16,"1,387,773","35,886,836",26.04,26.04,25.77,25.98,-0.01,970
63,107/04/17,"2,488,368","64,067,105",25.96,25.96,25.60,25.77,-0.21,"1,190"
64,107/04/18,"1,689,930","43,444,133",25.77,25.81,25.65,25.68,-0.09,938
65,107/04/19,"699,908","18,040,524",25.70,25.88,25.70,25.86,+0.18,380
66,107/04/20,"528,632","13,641,146",25.80,25.86,25.70,25.82,-0.04,315
67,107/04/23,"1,729,983","44,447,004",25.82,25.82,25.65,25.69,-0.13,569
68,107/04/24,"4,524,128","115,611,560",25.81,25.81,25.35,25.50,-0.19,"1,316"
69,107/04/25,"8,716,622","220,140,730",25.45,25.47,25.15,25.31,-0.19,"2,182"
70,107/04/26,"4,395,428","110,916,845",25.40,25.50,25.11,25.23,-0.08,"1,954"
71,107/04/27,"4,863,984","122,131,037",25.25,25.35,25.06,25.15,-0.08,"2,010"
72,107/05/02,"974,727","24,693,185",25.40,25.40,25.27,25.34,-0.06,607
73,107/05/03,"1,172,951","29,581,521",25.30,25.30,25.16,25.22,-0.12,610
74,107/05/04,"1,296,217","32,620,219",25.26,25.26,25.12,25.20,-0.02,623
75,107/05/07,"952,527","24,050,895",25.35,25.35,25.17,25.30,+0.10,665
76,107/05/08,"702,378","17,813,234",25.30,25.43,25.27,25.43,+0.13,424
77,107/05/09,"462,117","11,738,245",25.38,25.42,25.38,25.40,-0.03,247
78,107/05/10,"540,725","13,789,179",25.50,25.53,25.45,25.48,+0.08,345
79,107/05/11,"2,452,825","62,675,301",25.50,25.60,25.50,25.60,+0.12,666
80,107/05/14,"3,395,367","87,427,350",25.61,25.91,25.61,25.85,+0.25,"1,041"
81,107/05/15,"1,618,979","41,727,199",25.85,25.85,25.68,25.78,-0.07,743
82,107/05/16,"3,072,246","79,683,099",25.82,25.99,25.78,25.93,+0.15,"1,191"
83,107/05/17,"7,233,863","188,823,719",25.93,26.20,25.93,26.06,+0.13,"1,937"
84,107/05/18,"4,836,752","126,690,737",26.07,26.27,26.07,26.20,+0.14,"1,274"
85,107/05/21,"3,604,210","95,081,467",26.21,26.42,26.21,26.35,+0.15,"1,205"
86,107/05/22,"2,749,670","72,557,904",26.35,26.43,26.35,26.40,+0.05,916
87,107/05/23,"2,752,729","72,697,417",26.40,26.47,26.31,26.40, 0.00,996
88,107/05/24,"1,265,944","33,396,690",26.40,26.44,26.34,26.41,+0.01,465
89,107/05/25,"810,580","21,383,976",26.41,26.42,26.32,26.33,-0.08,354
90,107/05/28,"3,104,110","81,802,843",26.32,26.39,26.31,26.39,+0.06,576
91,107/05/29,"4,092,445","107,745,584",26.39,26.39,26.30,26.37,-0.02,373
92,107/05/30,"5,269,881","137,228,225",26.30,26.30,26.01,26.01,-0.36,635
93,107/06/01,"2,001,589","52,768,923",26.19,26.45,26.19,26.40,+0.21,633
94,107/06/04,"2,910,718","77,345,206",26.40,26.62,26.40,26.62,+0.22,"1,127"
